id,gender,ethnicity,age_group,timestamp,version,decision_log
user_1,Non-binary,Hispanic,18-25,2025-04-30T19:41:35.643629,v1.2,manual_review
user_2,Male,Asian,36-45,2025-06-02T19:41:35.643653,v3.2,manual_review
user_3,Non-binary,Asian,26-35,2025-03-28T19:41:35.643658,v1.8,approved
user_4,Non-binary,White,60+,2024-10-16T19:41:35.643662,v3.2,approved
user_5,Male,Asian,46-60,2024-12-03T19:41:35.643667,v2.4,rejected
user_6,Male,Asian,26-35,2025-05-22T19:41:35.643672,v1.7,approved
user_7,Non-binary,White,46-60,2025-06-08T19:41:35.643676,v1.3,rejected
user_8,Female,Asian,36-45,2024-10-05T19:41:35.643681,v2.6,approved
user_9,Non-binary,Other,36-45,2024-09-15T19:41:35.643694,v2.0,rejected
user_10,Non-binary,Black,18-25,2024-11-02T19:41:35.643701,v3.6,manual_review
user_11,Non-binary,Black,60+,2024-12-26T19:41:35.643713,v1.9,approved
user_12,Non-binary,White,46-60,2025-04-16T19:41:35.643717,v3.8,approved
user_13,Male,Hispanic,26-35,2024-11-03T19:41:35.643721,v2.7,approved
user_14,Non-binary,White,36-45,2024-08-24T19:41:35.643724,v2.8,approved
user_15,Female,Hispanic,18-25,2025-01-06T19:41:35.643728,v2.2,rejected
user_16,Male,Black,18-25,2025-02-14T19:41:35.643731,v2.9,approved
user_17,Female,White,46-60,2024-11-28T19:41:35.643735,v1.7,manual_review
user_18,Female,Other,36-45,2024-08-27T19:41:35.643739,v3.0,manual_review
user_19,Female,Asian,60+,2024-11-04T19:41:35.643742,v3.8,approved
user_20,Female,Hispanic,36-45,2025-04-16T19:41:35.643745,v1.3,manual_review
user_21,Male,Asian,46-60,2024-09-18T19:41:35.643748,v3.8,approved
user_22,Male,Asian,46-60,2024-08-23T19:41:35.643752,v2.7,approved
user_23,Female,White,36-45,2024-08-31T19:41:35.643755,v1.7,manual_review
user_24,Female,Asian,46-60,2025-02-09T19:41:35.643758,v3.0,approved
user_25,Male,Other,36-45,2024-11-06T19:41:35.643762,v1.5,manual_review
user_26,Male,Asian,26-35,2025-02-22T19:41:35.643765,v2.4,rejected
user_27,Male,White,36-45,2024-08-07T19:41:35.643768,v1.9,approved
user_28,Non-binary,Other,36-45,2025-06-06T19:41:35.643772,v3.9,rejected
user_29,Non-binary,Black,46-60,2025-04-01T19:41:35.643775,v2.8,manual_review
user_30,Non-binary,Asian,46-60,2025-04-06T19:41:35.643778,v2.7,rejected
user_31,Female,White,18-25,2024-10-29T19:41:35.643782,v3.1,rejected
user_32,Non-binary,Black,18-25,2024-11-16T19:41:35.643785,v2.6,manual_review
user_33,Female,Black,26-35,2024-07-28T19:41:35.643788,v2.7,rejected
user_34,Female,Hispanic,18-25,2024-11-19T19:41:35.643792,v3.8,rejected
user_35,Non-binary,Other,36-45,2025-05-29T19:41:35.643795,v3.0,manual_review
user_36,Female,Asian,46-60,2025-01-21T19:41:35.643798,v2.5,rejected
user_37,Non-binary,White,18-25,2024-09-22T19:41:35.643802,v2.9,manual_review
user_38,Non-binary,Hispanic,18-25,2025-05-30T19:41:35.643805,v1.2,rejected
user_39,Male,Other,26-35,2024-12-09T19:41:35.643808,v3.6,manual_review
user_40,Non-binary,Hispanic,26-35,2025-02-10T19:41:35.643811,v1.7,manual_review
user_41,Male,Other,36-45,2025-01-27T19:41:35.643815,v1.7,rejected
user_42,Non-binary,Other,46-60,2024-08-12T19:41:35.643818,v1.7,rejected
user_43,Non-binary,Asian,26-35,2024-12-28T19:41:35.643821,v2.6,rejected
user_44,Male,Other,18-25,2024-07-27T19:41:35.643824,v3.8,approved
user_45,Male,Hispanic,46-60,2024-12-23T19:41:35.643828,v1.4,approved
user_46,Non-binary,Other,46-60,2025-05-11T19:41:35.643831,v2.3,approved
user_47,Female,Asian,18-25,2025-01-22T19:41:35.643834,v2.4,manual_review
user_48,Male,Asian,26-35,2025-03-08T19:41:35.643837,v1.2,rejected
